Indicators,Urban  ,Rural,Total (2019-21),Total (2015-16),Footnotes,Footnote description
 Female population age 6 years and above who ever attended school (%),82.5,66.8,71.8,68.8,,
 Population below age 15 years (%),23.1,28.1,26.5,28.6,,
" Sex ratio of the total population (females per 1,000 males)",985,1037,1020,991,,
" Sex ratio at birth for children born in the last five years (females per 1,000 males)",924,931,929,919,,
 Children under age 5 years whose birth was registered with the civil authority (%),93.3,87.5,89.1,79.7,,
 Deaths in the last 3 years registered with the civil authority (%),83.2,65.8,70.8,na,,
 Population living in households with electricity (%),99.1,95.7,96.8,88,,
 Population living in households with an improved drinking-water source  (%),98.7,94.6,95.9,94.4,1,"Piped water into dwelling/yard/plot, piped to neighbour, public tap/standpipe, tube well or borehole, protected dug well, protected spring, rainwater, tanker truck, with small tank, bottled water, community RO plant."
 Population living in households that use an improved sanitation facility (%),81.5,64.9,70.2,48.5,2,"Flush to piped sewer system, flush to septic tank, flush to pit latrine, flush to don't know where, ventilated improved pit (VIP)/biogas latrine, pit latrine with slab, pit/composting toilet, which is not shared with any other household. This indicator does not denote access to toilet facility."
 Households using clean fuel for cooking  (%),89.7,43.2,58.6,43.8,3,"Electricity, LPG/natural gas, biogas."
 Households using iodized salt (%),96.9,93,94.3,93.1,,
 Households with any usual member covered under a health insurance/financing scheme (%),38.1,42.4,41,28.7,,
 Children age 5 years who attended pre-primary school during the school year 2019-20 (%),18.1,12,13.6,na,,
 Women who are literate  (%),83,65.9,71.5,na,4,Refers to women/men who completed standard 9 or higher and women/men who can read a whole sentence or part of a sentence.
 Men who are literate  (%),89.6,81.5,84.4,na,4,
 Women with 10 or more years of schooling (%),56.3,33.7,41,35.7,,
 Men with 10 or more years of schooling (%),62.1,43.7,50.2,47.1,,
 Women who have ever used the internet (%),51.8,24.6,33.3,na,,
 Men who have ever used the internet (%),72.5,48.7,57.1,na,,
 Women age 20-24 years married before age 18 years (%),14.7,27,23.3,26.8,,
 Men age 25-29 years married before age 21 years (%),11.3,21.1,17.7,20.3,,
 Total fertility rate (children per woman),1.6,2.1,2,2.2,,
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.8,7.9,6.8,7.9,,
 Adolescent fertility rate for women age 15-19 years,27,49,43,51,5,"Equivalent to the age-specific fertility rate for the 3-year period preceding the survey, expressed in terms of births per 1,000 women age 15-19."
 Neonatal mortality rate (NNMR),18,27.5,24.9,29.5,,
 Infant mortality rate (IMR),26.6,38.4,35.2,40.7,,
 Under-five mortality rate (U5MR),31.5,45.7,41.9,49.7,,
 Any method  (%),69.3,65.6,66.7,53.5,6,Any method includes other methods that are not shown separately; Any modern method includes other modern methods that are not shown separately.
 Any modern method  (%),58.5,55.5,56.5,47.8,6,
 Female sterilization (%),36.3,38.7,37.9,36,,
 Male sterilization (%),0.2,0.3,0.3,0.3,,
 IUD/PPIUD (%),2.7,1.8,2.1,1.5,,
 Pill (%),4.4,5.4,5.1,4.1,,
 Condom (%),13.6,7.6,9.5,5.6,,
 Injectables (%),0.4,0.6,0.6,0.2,,
 Total unmet need (%),8.4,9.9,9.4,12.9,7,"Unmet need for family planning refers to fecund women who are not using contraception but who wish to postpone the next birth (spacing) or stop childbearing altogether (limiting). Specifically, women are considered to have unmet need for spacing if they are:
� At risk of becoming pregnant, not using contraception, and either do not want to become pregnant within the next two years, or are unsure if or when they want to become pregnant.
� Pregnant with a mistimed pregnancy.
� Postpartum amenorrhoeic for up to two years following a mistimed birth and not using contraception.
Women are considered to have unmet need for limiting if they are:
� At risk of becoming pregnant, not using contraception, and want no (more) children.
� Pregnant with an unwanted pregnancy.
� Postpartum amenorrhoeic for up to two years following an unwanted birth and not using contraception.
Women who are classified as infecund have no unmet need because they are not at risk of becoming pregnant. Unmet need for family planning is the sum of unmet need for spacing plus unmet need for limiting.

"
 Unmet need for spacing  (%),3.6,4.3,4,5.7,7,
 Health worker ever talked to female non-users about family planning (%),23,24.3,23.9,17.7,,
 Current users ever told about side effects of current method  (%),64.7,61.5,62.4,46.6,8,"Based on current users of female sterilization, IUD/PPIUD, injectables, and pills who started using that method in the past 5 years."
 Mothers who had an antenatal check-up in the first trimester (%),75.5,67.9,70,58.6,,
 Mothers who had at least 4 antenatal care visits (%),68.1,54.2,58.1,51.2,,
 Mothers whose last birth was protected against neonatal tetanus  (%),92.7,91.7,92,89,9,"Includes mothers with two injections during the pregnancy for their last birth, or two or more injections (the last within 3 years of the last live birth), or three or more injections (the last within 5 years of the last birth), or four or more injections (the last within 10 years of the last live birth), or five or more injections at any time prior to the last birth."
 Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),54,40.2,44.1,30.3,,
 Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),34.4,22.7,26,14.4,,
 Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),94.9,96.3,95.9,89.3,,
 Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),84.6,75.4,78,62.4,,
 Average out-of-pocket expenditure per delivery in a public health facility (Rs,3385,2770,2916,3197,,
 Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),3.8,4.3,4.2,2.5,,
 Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),85.7,76.5,79.1,na,,
 Institutional births (%),93.8,86.7,88.6,78.9,,
 Institutional births in public facility (%),52.6,65.3,61.9,52.1,,
 Home births that were conducted by skilled health personnel  (%),2.1,3.7,3.2,4.3,10,Doctor/nurse/LHV/ANM/midwife/other health personnel
 Births attended by skilled health personnel  (%),94,87.8,89.4,81.4,10,
 Births delivered by caesarean section (%),32.3,17.6,21.5,17.2,,
 Births in a private health facility that were delivered by caesarean section (%),49.3,46,47.4,40.9,,
 Births in a public health facility that were delivered by caesarean section (%),22.7,11.9,14.3,11.9,,
 Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall  (%),75.5,76.8,76.4,62,11,"Vaccinated with BCG, measles-containing vaccine (MCV)/MR/MMR/Measles, and 3 doses each of polio (excluding polio vaccine given at birth) and DPT or penta vaccine"
 Children age 12-23 months fully vaccinated based on information from vaccination card only  (%),83.3,84,83.8,77.9,12,"Among children whose vaccination card was shown to the interviewer, percentage vaccinated with BCG, measles-containing vaccine (MCV)/MR/MMR/Measles, and 3 doses each of polio (excluding polio vaccine given at birth) and DPT or penta vaccine."
 Children age 12-23 months who have received BCG (%),94.7,95.4,95.2,91.9,,
 Children age 12-23 months who have received 3 doses of polio vaccine  (%),79.2,80.9,80.5,72.8,13,Not including polio vaccination given at birth.
 Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),86,87,86.7,78.4,,
 Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),87.1,88.1,87.9,81.1,,
 Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),30.4,32.4,31.9,na,,
 Children age 12-23 months who have received 3 doses of rotavirus vaccine  (%),34.9,37,36.4,na,14,"Since rotavirus is not being provided across all states and districts, the levels should not be compared."
 Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),83,84.2,83.9,62.8,,
 Children age 9-35 months who received a vitamin A dose in the last 6 months (%),71.8,71,71.2,64.5,,
 Children age 12-23 months who received most of their vaccinations in a public health facility (%),87.7,97,94.5,90.7,,
 Children age 12-23 months who received most of their vaccinations in a private health facility (%),11.1,1.6,4.2,7.2,,
 Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.2,7.7,7.3,9.2,,
 Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),62.5,60.1,60.6,50.6,,
 Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),31.5,30.3,30.5,20.3,,
 Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),72.2,68,68.9,67.9,,
 Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.3,3,2.8,2.7,,
 Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),72.7,67.8,69,73.2,,
 Children under age 3 years breastfed within one hour of birth  (%),44.7,40.7,41.8,41.6,15,Based on the last child born in the 3 years before the survey
 Children under age 6 months exclusively breastfed  (%),59.6,65.1,63.7,54.9,16,Based on the youngest child living with the mother.
 Children age 6-8 months receiving solid or semi-solid food and breastmilk  (%),52,43.9,45.9,42.7,16,
 Breastfeeding children age 6-23 months receiving an adequate diet,11.8,10.8,11.1,8.7,"16, 17","(17) Breastfed children receiving 4 or more food groups and a minimum meal frequency, non-breastfed children fed with a minimum of 3 Infant and Young Child Feeding Practices (fed with other milk or milk products at least twice a day, a minimum meal frequency that is, receiving solid or semi-solid food at least twice a day for breastfed infants 6-8 months and at least three times a day for breastfed children 9-23 months, and solid or semi-solid foods from at least four food groups not including the milk or milk products food group)."
 Non-breastfeeding children age 6-23 months receiving an adequate diet (%),14.2,12,12.7,14.3,"16, 17",
 Total children age 6-23 months receiving an adequate diet,12.3,11,11.3,9.6,"16, 17",
 Children under 5 years who are stunted (height-for-age)  (%),30.1,37.3,35.5,38.4,18,"Below -2 standard deviations, based on the WHO standard"
 Children under 5 years who are wasted (weight-for-height)  (%),18.5,19.5,19.3,21,18,
 Children under 5 years who are severely wasted (weight-for-height)  (%),7.6,7.7,7.7,7.5,19,"Below -3 standard deviations, based on the WHO standard"
 Children under 5 years who are underweight (weight-for-age)  (%),27.3,33.8,32.1,35.8,18,
 Children under 5 years who are overweight (weight-for-height)  (%),4.2,3.2,3.4,2.1,20,"Above +2 standard deviations, based on the WHO standard"
 Women whose Body Mass Index (BMI) is below normal (BMI <185 kg/m2)  (%),13.2,21.2,18.7,22.9,21,Excludes pregnant women and women with a birth in the preceding 2 months
 Men whose Body Mass Index (BMI) is below normal (BMI <185 kg/m2) (%),13,17.8,16.2,20.2,,
 Women who are overweight or obese (BMI >=250 kg/m2)  (%),33.2,19.7,24,20.6,21,
 Men who are overweight or obese (BMI >= 250 kg/m2) (%),29.8,19.3,22.9,18.9,,
 Women who have high risk waist-to-hip ratio (>=085) (%),59.9,55.2,56.7,na,,
 Men who have high risk waist-to-hip ratio (>=090) (%),50.1,46.4,47.7,na,,
 Children age 6-59 months who are anaemic (<110 g/dl)  (%),64.2,68.3,67.1,58.6,22,"Haemoglobin in grams per decilitre (g/dl). Among children, prevalence is adjusted for altitude. Among adults, prevalence is adjusted for altitude and for smoking status, if known. As NFHS uses the capillary blood for estimation of anaemia, the results of NFHS-5 need not be compared with other surveys using venous blood."
 Non-pregnant women age 15-49 years who are anaemic (<120 g/dl)  (%),54.1,58.7,57.2,53.2,22,
 Pregnant women age 15-49 years who are anaemic (<110 g/dl)  (%),45.7,54.3,52.2,50.4,22,
 All women age 15-49 years who are anaemic  (%),53.8,58.5,57,53.1,22,
 All women age 15-19 years who are anaemic  (%),56.5,60.2,59.1,54.1,22,
 Men age 15-49 years who are anaemic (<130 g/dl)(%),20.4,27.4,25,22.7,22,
 Men age 15-19 years who are anaemic (<130 g/dl) (%),25,33.9,31.1,29.2,22,
 Blood sugar level - high (141-160 mg/dl) (%),6.7,5.9,6.1,na,23,Random blood sugar measurement
 Blood sugar level - very high (>160 mg/dl) (%),8,5.5,6.3,na,23,
 Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level  (%),16.3,12.3,13.5,na,23,
 Blood sugar level - high (141-160 mg/dl) (%),7.8,7,7.3,na,23,
 Blood sugar level - very high (>160 mg/dl)  (%),8.5,6.5,7.2,na,23,
 Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level  (%),17.9,14.5,15.6,na,23,
 Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),13.6,11.9,12.4,na,,
 Moderately or severely elevated blood pressure (Systolic =160 mm of Hg and/or Diastolic =100 mm of Hg) (%),5.2,5.2,5.2,na,,
