iter	RMSE
0	21.62293243
1	20.81729498
2	20.01762518
3	19.29431861
4	18.59942671
5	17.93166033
6	17.29083525
7	16.66035035
8	16.06226471
9	15.5133808
10	14.99507933
11	14.51037024
12	14.04421356
13	13.60530677
14	13.1868152
15	12.80942388
16	12.44574119
17	12.0801562
18	11.76507238
19	11.44082627
20	11.12656976
21	10.83969031
22	10.58589416
23	10.3244054
24	10.09999167
25	9.873194467
26	9.669555987
27	9.468089648
28	9.285270222
29	9.101825048
30	8.928379741
31	8.779538852
32	8.62921424
33	8.484748069
34	8.353123061
35	8.234175427
36	8.125042063
37	8.012419567
38	7.921377775
39	7.819790432
40	7.730650926
41	7.643407798
42	7.566737575
43	7.480367527
44	7.405023581
45	7.335862439
46	7.27128092
47	7.20570142
48	7.151860451
49	7.093452729
50	7.037192145
51	6.994019051
52	6.942648658
53	6.897320334
54	6.852925973
55	6.809205942
56	6.770648627
57	6.73247549
58	6.697292824
59	6.662802179
60	6.628455085
61	6.593084697
62	6.55442387
63	6.523751572
64	6.498616254
65	6.47181063
66	6.450105935
67	6.422500325
68	6.397260746
69	6.368145117
70	6.345435222
71	6.320148229
72	6.298944159
73	6.275894973
74	6.257351471
75	6.232788863
76	6.212689264
77	6.190184744
78	6.175656935
79	6.16097854
80	6.148584445
81	6.13289327
82	6.119555376
83	6.09833803
84	6.080744334
85	6.062141738
86	6.044684437
87	6.035103232
88	6.018217563
89	6.006779807
90	5.992822827
91	5.975889423
92	5.962376871
93	5.950299409
94	5.93433398
95	5.922052083
96	5.907651075
97	5.890607338
98	5.878704915
99	5.862601057
100	5.847242966
101	5.836791143
102	5.827468917
103	5.81698801
104	5.80400988
105	5.793042506
106	5.784417939
107	5.774580973
108	5.759868359
109	5.751352243
110	5.740209239
111	5.729606253
112	5.716439534
113	5.711766102
114	5.701633211
115	5.690395438
116	5.680913495
117	5.674814366
118	5.668827042
119	5.658861012
120	5.646949637
121	5.6382434
122	5.628073905
123	5.618068079
124	5.611236128
125	5.600489769
126	5.592380403
127	5.581930931
128	5.571126065
129	5.56491827
130	5.556936432
131	5.548425793
132	5.538524695
133	5.52640464
134	5.51923022
135	5.510662583
136	5.503491053
137	5.49487348
138	5.489006667
139	5.479139808
140	5.472741982
141	5.461699414
142	5.44822032
143	5.438275235
144	5.43157203
145	5.425518989
146	5.420018481
147	5.412342953
148	5.404963769
149	5.393304638
150	5.386060208
151	5.375049419
152	5.367743326
153	5.355451554
154	5.35092594
155	5.344714198
156	5.338214242
157	5.331915922
158	5.326128693
159	5.322232947
160	5.312118011
161	5.306468252
162	5.298539785
163	5.291293312
164	5.284767235
165	5.277316573
166	5.272178692
167	5.26384023
168	5.256463616
169	5.251778339
170	5.242024598
171	5.234800177
172	5.229727172
173	5.224678832
174	5.217045604
175	5.213054751
176	5.207653889
177	5.200178289
178	5.19580072
179	5.190604381
180	5.183304734
181	5.171931585
182	5.168236486
183	5.162252156
184	5.156929422
185	5.150768199
186	5.143540841
187	5.137702812
188	5.129421992
189	5.122767433
190	5.117858345
191	5.111957535
192	5.105648582
193	5.098520357
194	5.090456627
195	5.081164011
196	5.076343951
197	5.069668881
198	5.065292776
199	5.059006871
200	5.053931939
201	5.048141609
202	5.041766701
203	5.037362438
204	5.032101824
205	5.029141399
206	5.026519547
207	5.021756563
208	5.016448347
209	5.011032708
210	5.005621278
211	5.000264886
212	4.995315174
213	4.988622588
214	4.982436692
215	4.977614466
216	4.972509641
217	4.963212553
218	4.957949065
219	4.951989141
220	4.946022431
221	4.94066501
222	4.935150626
223	4.930772081
224	4.927404266
225	4.924434993
226	4.920317706
227	4.914555744
228	4.909520924
229	4.904309712
230	4.898071159
231	4.894120574
232	4.88779251
233	4.882997303
234	4.87645178
235	4.872020676
236	4.868081392
237	4.862902912
238	4.859209123
239	4.856336598
240	4.847623343
241	4.84267338
242	4.838049358
243	4.833390438
244	4.827400586
245	4.818751531
246	4.817858223
247	4.813114411
248	4.808754182
249	4.802806816
250	4.796229899
251	4.793680732
252	4.788436088
253	4.78535058
254	4.779647652
255	4.775461512
256	4.773291046
257	4.771561435
258	4.767166669
259	4.760014792
260	4.756112402
261	4.754721174
262	4.750369451
263	4.745737907
264	4.742919533
265	4.737719239
266	4.734254903
267	4.731014386
268	4.728525926
269	4.72309367
270	4.719420503
271	4.716266685
272	4.714263294
273	4.710389782
274	4.706081692
275	4.702368537
276	4.699263013
277	4.696399797
278	4.691681172
279	4.68803671
280	4.684434252
281	4.679151995
282	4.675953299
283	4.671930212
284	4.668318216
285	4.666663931
286	4.662480436
287	4.661706373
288	4.658922608
289	4.655812192
290	4.651801611
291	4.650317335
292	4.645551441
293	4.641583755
294	4.641110867
295	4.638875022
296	4.636425119
297	4.633983617
298	4.628189132
299	4.625720717
300	4.623155296
301	4.619497123
302	4.615310718
303	4.612836902
304	4.60701813
305	4.603171101
306	4.601303517
307	4.599404494
308	4.595753307
309	4.592815206
310	4.590684296
311	4.587727909
312	4.584086135
313	4.581885834
314	4.579643882
315	4.575641666
316	4.572884411
317	4.571348419
318	4.568383971
319	4.56418253
320	4.561690986
321	4.560642442
322	4.556280692
323	4.55378902
324	4.549622125
325	4.545936205
326	4.542914156
327	4.538075362
328	4.536115524
329	4.53340391
330	4.529505591
331	4.522652328
332	4.517644935
