iter	Passed	Remaining
0	77	38612
1	82	20508
2	87	14513
3	93	11562
4	99	9814
5	105	8648
6	110	7772
7	115	7099
8	121	6625
9	128	6274
10	134	5967
11	141	5740
12	147	5533
13	153	5333
14	159	5144
15	163	4957
16	169	4815
17	175	4695
18	181	4589
19	187	4502
20	193	4404
21	198	4310
22	203	4218
23	208	4134
24	213	4059
25	219	3998
26	225	3944
27	232	3913
28	240	3898
29	245	3848
30	252	3812
31	258	3774
32	263	3734
33	269	3698
34	275	3658
35	280	3621
36	287	3597
37	293	3566
38	299	3537
39	305	3512
40	311	3484
41	317	3457
42	322	3431
43	328	3403
44	334	3384
45	340	3360
46	345	3334
47	351	3310
48	357	3294
49	363	3272
50	369	3252
51	375	3231
52	380	3213
53	387	3203
54	393	3184
55	399	3166
56	405	3150
57	410	3129
58	416	3112
59	421	3093
60	427	3078
61	433	3060
62	438	3044
63	444	3028
64	450	3018
65	456	3004
66	462	2989
67	468	2977
68	475	2967
69	480	2950
70	486	2937
71	491	2924
72	497	2912
73	504	2901
74	510	2890
75	515	2876
76	521	2867
77	527	2855
78	533	2844
79	539	2831
80	544	2818
81	550	2806
82	556	2795
83	561	2782
84	568	2773
85	573	2762
86	579	2751
87	585	2741
88	591	2733
89	597	2722
90	603	2711
91	609	2701
92	614	2691
93	620	2680
94	626	2670
95	632	2660
96	637	2650
97	643	2641
98	649	2632
99	655	2622
100	662	2615
101	668	2606
102	674	2598
103	680	2590
104	686	2583
105	692	2573
106	697	2562
107	703	2553
108	710	2547
109	716	2539
110	722	2532
111	727	2521
112	734	2515
113	739	2505
114	745	2497
115	752	2492
116	759	2487
117	766	2482
118	773	2475
119	779	2469
120	787	2465
121	795	2464
122	803	2462
123	811	2460
124	824	2473
125	834	2475
126	842	2474
127	852	2477
128	860	2475
129	868	2471
130	877	2471
131	885	2467
132	899	2482
133	906	2476
134	914	2471
135	921	2465
136	928	2459
137	935	2454
138	942	2448
139	950	2443
140	958	2441
141	966	2436
142	974	2431
143	981	2427
144	991	2427
145	999	2423
146	1006	2417
147	1014	2413
148	1023	2409
149	1030	2405
150	1039	2402
151	1047	2398
152	1056	2395
153	1064	2391
154	1072	2388
155	1081	2384
156	1088	2379
157	1095	2371
158	1102	2364
159	1109	2357
160	1117	2352
161	1123	2344
162	1130	2336
163	1137	2329
164	1144	2322
165	1150	2315
166	1156	2307
167	1163	2299
168	1171	2293
169	1178	2286
170	1185	2279
171	1191	2271
172	1198	2265
173	1205	2258
174	1211	2250
175	1217	2242
176	1225	2235
177	1232	2229
178	1238	2221
179	1245	2214
180	1252	2208
181	1259	2200
182	1266	2193
183	1272	2185
184	1280	2180
185	1289	2176
186	1296	2170
187	1303	2163
188	1310	2157
189	1318	2150
190	1326	2146
191	1335	2142
192	1343	2136
193	1353	2134
194	1363	2132
195	1374	2132
196	1395	2145
197	1434	2187
198	1461	2211
199	1490	2235
200	1513	2251
201	1528	2255
202	1589	2325
203	1603	2326
204	1611	2319
205	1618	2310
206	1626	2301
207	1633	2293
208	1641	2286
209	1648	2276
210	1655	2267
211	1661	2257
212	1669	2249
213	1676	2240
214	1683	2232
215	1690	2223
216	1702	2220
217	1714	2217
218	1722	2210
219	1731	2204
220	1742	2199
221	1753	2195
222	1764	2191
223	1774	2186
224	1784	2180
225	1791	2172
226	1798	2163
227	1806	2155
228	1815	2148
229	1823	2140
230	1831	2133
231	1840	2125
232	1848	2118
233	1855	2109
234	1863	2101
235	1870	2092
236	1879	2086
237	1888	2079
238	1896	2070
239	1904	2062
240	1913	2056
241	1921	2048
242	1929	2040
243	1936	2031
244	1943	2022
245	1949	2012
246	1956	2003
247	1962	1994
248	1970	1986
249	1977	1977
250	1983	1968
251	1990	1959
252	1998	1951
253	2005	1942
254	2012	1933
255	2020	1925
256	2027	1917
257	2035	1908
258	2043	1901
259	2050	1892
260	2058	1885
261	2064	1875
262	2071	1866
263	2078	1857
264	2084	1848
265	2091	1839
266	2098	1830
267	2106	1823
268	2114	1815
269	2121	1807
270	2128	1798
271	2134	1789
272	2142	1781
273	2148	1772
274	2155	1763
275	2162	1755
276	2171	1748
277	2178	1740
278	2185	1731
279	2192	1722
280	2200	1714
281	2207	1706
282	2214	1697
283	2221	1689
284	2227	1680
285	2235	1672
286	2243	1664
287	2249	1655
288	2257	1648
289	2263	1639
290	2271	1631
291	2277	1622
292	2285	1614
293	2292	1606
294	2299	1598
295	2307	1590
296	2313	1581
297	2321	1573
298	2329	1566
299	2337	1558
300	2344	1549
301	2351	1541
302	2358	1533
303	2365	1525
304	2372	1516
305	2379	1508
306	2386	1500
307	2392	1491
308	2401	1484
309	2408	1476
310	2415	1467
311	2422	1459
312	2429	1451
313	2435	1442
314	2442	1434
315	2450	1426
316	2457	1418
317	2463	1409
318	2470	1401
319	2477	1393
320	2484	1385
321	2491	1377
322	2500	1370
323	2507	1361
324	2514	1353
325	2521	1345
326	2528	1337
327	2535	1329
328	2543	1321
329	2549	1313
330	2556	1305
331	2562	1296
332	2570	1288
333	2576	1280
334	2584	1272
335	2592	1265
336	2599	1257
337	2606	1249
338	2613	1241
339	2621	1233
340	2628	1225
341	2634	1217
342	2641	1209
343	2648	1201
344	2655	1193
345	2662	1184
346	2668	1176
347	2675	1168
348	2683	1160
349	2691	1153
350	2699	1145
351	2705	1137
352	2712	1129
353	2719	1121
354	2727	1114
355	2735	1106
356	2742	1098
357	2749	1090
358	2755	1082
359	2762	1074
360	2769	1066
361	2776	1058
362	2783	1050
363	2790	1042
364	2797	1034
365	2805	1027
366	2813	1019
367	2820	1011
368	2828	1004
369	2835	996
370	2841	988
371	2848	980
372	2855	972
373	2862	964
374	2869	956
375	2875	948
376	2883	940
377	2890	932
378	2897	925
379	2903	916
380	2911	909
381	2919	901
382	2926	893
383	2932	885
384	2940	878
385	2946	870
386	2954	862
387	2960	854
388	2968	847
389	2975	839
390	2982	831
391	2988	823
392	2995	815
393	3001	807
394	3008	799
395	3015	791
396	3022	784
397	3031	776
398	3038	769
399	3045	761
400	3053	753
401	3060	745
402	3066	738
403	3073	730
404	3082	723
405	3090	715
406	3096	707
407	3103	699
408	3110	691
409	3117	684
410	3124	676
411	3130	668
412	3137	661
413	3144	653
414	3151	645
415	3154	637
416	3161	629
417	3168	621
418	3175	613
419	3182	606
420	3189	598
421	3196	590
422	3202	582
423	3209	575
424	3216	567
425	3225	560
426	3232	552
427	3239	544
428	3247	537
429	3253	529
430	3260	521
431	3266	514
432	3274	506
433	3281	499
434	3287	491
435	3294	483
436	3302	476
437	3309	468
438	3316	460
439	3323	453
440	3332	445
441	3340	438
442	3348	430
443	3354	423
444	3362	415
445	3368	407
446	3375	400
447	3381	392
448	3388	384
449	3395	377
450	3402	369
451	3407	361
452	3415	354
453	3422	346
454	3429	339
455	3436	331
456	3443	324
457	3451	316
458	3458	308
459	3465	301
460	3472	293
461	3479	286
462	3485	278
463	3492	270
464	3499	263
465	3506	255
466	3514	248
467	3521	240
468	3528	233
469	3535	225
470	3542	218
471	3549	210
472	3557	203
473	3563	195
474	3569	187
475	3576	180
476	3584	172
477	3593	165
478	3601	157
479	3609	150
480	3616	142
481	3622	135
482	3630	127
483	3637	120
484	3644	112
485	3651	105
486	3658	97
487	3664	90
488	3672	82
489	3679	75
490	3686	67
491	3693	60
492	3701	52
493	3709	45
494	3717	37
495	3726	30
496	3734	22
497	3741	15
498	3747	7
499	3754	0
